product_name,reviews
Oneplus Bullets Z2,"This earphones are  designed to reduce external noise, typically by generating a sound wave that cancels it out.This set of Bluetooth earphones are lit as the can be used for cycling,jogging & running coz its sweatproof so no woories for damage to the earphones and also it gets cliped to the ears an will not be removed easily while cycling, running & jogging.Appart fro all this it have 1 year of warranty.This Bluetooth earphones have magnets at their plugs which helps it to be free easily it can't be easily messed up.It's a total value for money product worth to buy this Bluetooth earphones
"
Oneplus Bullets Z2,"Good product
"
boAt Rockerz 255,"No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.1.Bluetooth range not more than 10m2. Pain in ear due the conical buds(can be removed)3. Wires are a bit long which makes it odd in front.4. No pouch provided.5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice.
"
boAt Rockerz 255,"This  earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.Guys,Also for the proof i have attached picsPlease see and think before buying​ this unreliable product.Thanks.
"
boAt Rockerz 255,"i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.Sound quality is really good.You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.Comfortable on ear.
"
boAt Rockerz 255,"Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.
"
boAt Rockerz 255,"Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees...But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon...
"
boAt Rockerz 255,"After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one.
"
boAt Rockerz 255,"Sound-4.5/5Build quality-4.5/5Battery life -4/5Earphones quality is good with strong magnetic lock... Straps is good quality and the earphones wires are too good... Buttons quality is good.. sound is full of punchy bass and and balanced treble and has sorrund effect.. good fitting in ears.. hope connectivity is good.. bcz my last boat Bluetooth bassheads 225 had connection issues... This is worth its price... Hope the packaging was good ...there was no bubble wrapping..
"
boAt Rockerz 255,"After one month usage reviewing this .Pros-1- sound quality2- design3- weight4- batteryCons1- very bad mic for talking2- can't use while riding bike3 - Music is too loud
"
boAt Rockerz 255,"I can’t get enough of this earphone! The bass is amazing and is perfect for a music lover. The battery life is good enough to keep me going all day. The fact that I can connect my laptop and phone at the same time and switch between them makes the experience so much better. I use my earphones a lot for voice calls and this doesn’t let me down at all.  This is a must buy for all music lovers.
"
boAt Rockerz 255,"The product durability is 1 month..I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty..  And after purchasing u must register ur product in boat's site for replacement and warranty
"
boAt Rockerz 255,"The sound quality is good. I mean it can’t be compared with Senheiser or Bose but its worth the price.Perfect to use while running; the earbuds are so comfortable that you wouldn’t even feel they are plugged in.
"
boAt Rockerz 255,"What on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a BoAt.... #Disappointed
"
boAt Rockerz 255,"Hey all, I have used quite a few budget earphones, Senn 180,213,soundmagic e18s, 1more piston, JBL t160, c150si, boat rockerz 225, compared the boat rockers 255 with all these earphones. Additionally I have a Philips basic, a Sony and a JBL headphone. I have bought these for my own use, a few friends and relatives. None of these can compare to the loudness bass and overall effect of these bt earphones. I'm obviously not an audiophile but I know the difference between a good sound and noise. The only concern I found was that the wires hang a lil low and the highs could have been sharper(nitpicking). Cant fault it otherwise. I have It paired with RN5 pro.
"
boAt Rockerz 255,"Product stopped working in a month time
"
boAt Rockerz 255,"Right speaker is not working at all. Useless product.Big disappointment.
"
boAt Rockerz 255,"Received this BoAt 255 earphones yesterday evening.Sound quality is perfect. Good combination of Bass and treble. Can feel every beat.Connectivity is quick. Detects and connects easily.Battery life is good. Stayed around 10-11 hrs.As i received this yesterday evening. Have been playing since then. So its just the first day review. But performance is good.Earphones looks solid. Build quality is good. The magnates are really helpful to hold the earphones. Earphones looks great.Earphone wire could be bit long. But that's fine for me. Not sure about others.Didn't get chance to charge so not sure about the time to full charge.One thing i observed during my 10 hours play time that the music stopped playing itself in middle. Not sure it it gets disconnected or there is some technical problem.But overall performance was nice. Good experience.
"
boAt Rockerz 255,"This sound and bass quality is good battery life good noise cancelling is good but its wire is too long and uncomfortable which is not looking good wire is starting from top its looking bad but anyway everything is ok
"
boAt Rockerz 255,"The product is a good buy if you are looking for a decent Bluetooth earphones with a reputed brand.Sound quality 4/5)- pretty good with good amount of bass.Durability (4/5)- the material seems durable and the earphones are light weightBattery life (3.5/5)- It has a decent battery life of upto 5-6 hours playtime on 80% volume.Connectivity (3.5/5)- gets connected with seconds but sometimes gets disconnected within a small rangeCall quality (3/5)- call quality is decent, the person on the other end of the call can here you clearly however you need to place the mic exactly near your mouth. Sometimes the call gets distorted.
"
boAt Rockerz 255,"Below average product. Not happy at all.Pros : good sound qualityCons : very uncomfortable, silicon buds are not soft. Bought a memory foam bud pair to use it.Battery life is just ok. Once give a low battery alarm, dies within 2 minLittle heavy on earsNo return possible
"
boAt Rockerz 255,"he only problem is that as earpieces are of metal so they are heavier than a normal wired earpiece And that makes u feel uncomfortable as u start to feel heavier in ur ears and the earbuds are too sleepery, so heavy earpiece with sleepery earbuds will make u irritate. And seems like boat just focussed on bass for these earphones. Note my words just and just bass, too much bass for long time will surely give u headache. I bought these for 999/- but i don't think so they are worth that. My senhessier cx wired earphones are way too much better than these, way too much. So if u want to buy these then buy only for the sake of wireless feature and not for the sound and build quality.
"
boAt Rockerz 255,"The product is great intially !But the real test is after 2 months of useSo reviewing the product after two months of usePros1 The earphones drives you a very rich sound quality inspite of being wireless2 The neck band makes it much more durable then the other earphones3 The flat wire is very durable and the magnets saves it from you loosing it4 The 45 degree tilted earbuds just fits right in most of the ears (you can check with other 45 degree tilted earphones for a day that weather you are comfortable with it or not )5 It comes with 2 pairs of extra buds the small and big while the medium one is already on itCons1 - The connectivity of dual phones is not that easy as shown.(>Connect the earphone to phone A as usual>Disconnect it from the phone A by switching off the Bluetooth on phone A>Now connect the earphone to phone B>Switch off the earphone and switch it on back>Open the Bluetooth settings on phone A and B>From the paired device list select boAt rockers 255 on both the device at the same time.On the earphones you will get to hear YOU ARE NOW CONNECTED TO BOAT ROCKERZ 255 TWICE )2- You get a cracking sound when ideal or just before you dial a number on dial pad3 - Battery life is not accurateSometimes it work hours with 40-60 % battery while sometime it is dead on 80%So Dont rely on the battery indicator  at all but the battery once charged for 2-3 hours works constantly for 5-6 hours on normal volume.I hope this was of some help do mark it helpful  if so...Overall you should go for it when you get a exciting deal on this product
"
boAt Rockerz 255,"Don't you guys check the product before selling ? just received the product and one side of the earphone is working and the other is not !
"
boAt Rockerz 255,"Got it today, really loved the product.. awesome sound.. i was thinking to buy the Airpod but a friend suggested this to me.. Why spend so much!! So i ordered this and this really is amazing.. it looks good.. have great sound and doesnt hurt ua ears!! I am totally satisfied with this and couldnt say about battery as i have got it, today itself!
"
boAt Rockerz 255,"Rightside speaker stop working within 20 days.
"
boAt Rockerz 255,"Overall good!But I am unable to connect two devices simultaneously. Please Guide how can i do that.Thank you!
"
boAt Rockerz 255,"I just brought it in last week, and to be very frank,it's really Awesome. Beyond my expectations.Sound quality is like having your own personal home theatre,too clear and loud enough, you can listen every single bit of music.And coming to battery backup, they said it's 6hrs but it's more than that, for me it's working near about one and more.I will say,Go for it.
"
boAt Rockerz 255,"Defective product. Not working, had to return the defective product.
"
boAt Rockerz 255,"Although sound quality is good, but then whats a purpose of buying a wireless earphone when its controls (buttons) doesn't work. I bought this product withing a week controls where stop responding cant switch on or do anything.replaced it got refund bought another piece different color that worn out in a day.Both the time seller was "" Appario Retail Private Ltd"". So i leave it to your wisdom whether you want to buy this or not. I will never buy this brand at least from this platform.
"
boAt Rockerz 255,"I am a prime customer of Amazon and I always purchase a product after so much research bought these boat rokerz in the sale in 1099 and trust me I am blown away by these I have used sony and other headphones in the price range of 5 & 6k but this is just similar to them in this price range ""sound quality"" 10/10 ""battery life"" seems good not tested for as described but will update soon ""durability"" 10/10 perfect fit no pain no discomfort.... Really boat has done a fantastic job with amazing music quality with superb bass in all highs mids &lows ..... Just go for it.
"
boAt Rockerz 255,"Battery is faulty
"
boAt Rockerz 255,"Boat blue tooth 255, ye doubt Voice quality is amazing for 30 days or so you will be big FAN or Boat but after 30days.. voice from of the side going down and even after 35 days you will not be able to hear anything from one sideBoat Service on same again so pathetic , raise an complaint almost 10days back  for replacement or rapair but after 10days its reaches to their rapir center, not sure how many more days Boat will take to repair... Big Suggestion DO NOT BUY THIS
"
boAt Rockerz 255,"Awesome bass. This is even at low volume. So if bass is your thing these are the earphones for you. Really like the sound. There could be more clarity but nonetheless these are good.Great battery life as well. Lasts about 5-6 hours.The only grouse is that they are not very comfortable. I changed the plugs to the smallest but my ears still hurt. Maybe just takes getting used to.Spent 999 for it on the great Indian sale. Definitely worth it.
"
boAt Rockerz 255,"Update: Sadly this is the second Boat product to conk off after few months of use. I guess this is the end of the journey for you and I Boat Audio, not buying any more products from your brand. Changed the rating to reflect the same.I was in the market for a cheap pair of Bluetooth earphones and I chanced upon this on a lightning deal and bought it. I have used Boat products before, they have good build quality and their sound is alright. I’m writing this after a month or so, enough time to have lived with it and get to know quirks and other problems.• The sound is nothing great, it’s a bit on the bassy side. If you’re a bass lover, this is definitely a good buy.• Connectivity is quick and painless – and it works without hassle every time. The quality of the connectivity depends and is sometimes weird. I can put the phone on charge and use it for a distance of about 3 meters, no worries. But sometimes when I’m walking really fast or jogging there are breaks and crackles in audio. Not sure if it’s the material of my gym wear, but it works well when the phone’s in my jeans.• Battery life is nothing to write home about – I listen to music constantly even when I’m at work. My demands are probably too high for this price range.• It is sweat-proof as advertised. No interruptions under a light drizzle.• It’s got great build quality for the price – looks and feels premium. Doesn’t tangle at all.• It stays in your ear regardless of the intensity of the exercise which is great.On the whole a great buy if you are looking for a cheaper alternative. Wait for a sale before you get it though.Like my reviews? Please do click the helpful button. It encourages me to share more about the products I use. Thanks!
"
boAt Rockerz 255,"The headphones were good at the beginning but after a week getting disturbance on left side earpiece which stays for sometime
"
boAt Rockerz 255,"Audio quality is pretty good and the way it speaks bye amigos when turning it off is also unique.It's durable and designed right.It has mic opening towards down and engraved and rest of the headphone is completely covered,which makes it water resistant I guess.Only things is that it looks weird when you leav it hanging around the neck unlike some other bluetooth headphones which have hard collar kind thing and then a wire stretching out of it. As it hangs too low from neck and the those hard collar kind ones look like small neck accessory when left hanging.Either way I liked the product and it does the job. Battery back is also really good.
"
boAt Rockerz 255,"Close your eyes and just go for it. It is amazing at its price. I have got it at a festival sale which costs me 999 rupees. There is everything perfect in these bluetooth earphones. The bass is amazing even more than sony and jbl bt earphones. The sound is crystal clear. Mic quality is decent and battery life is about 6-7 hours of playback. Noise cancellation is pretty enough. I am very impressed from these earphones. And at last these earphones are stereo supported so you can enjoy 360 songs and also play pubg with these bluetooth earphones. Really i love boat.
"
boAt Rockerz 255,"The item has been rendered defective three times in less than two months of usage. The first two times was due to charging issue and the third time due to sound distortion. Being under warranty, the item has been repaired the first two times and now I have registered a compliant for the third failure. The product has spent more time at the service centre than I have used it. Am completely dissatisfied with the reliability of the product.
"
boAt Rockerz 255,"Purchased it for 999. And the price does justifies its quality but for music purposes it does lags. Bass is still justified for its price. Basic functions dont work as desired like overriding the use of buttons.  The startup and shutting down voice is very annoying. Could have kept very subtle.And also battery drains out quickly.  The microphone is the worst.  The person at the other end wont be able to hear you clearly. The built quality is very cheap.  Dont expect it to be durable for long just keep it safe.Also when I used it during running the audio started to interrupt regularly which was very very annoying. I had to abstain from using it during morning jog.  After this experience am giving it only 2 stars.
"
boAt Rockerz 255,"The reason for this being an average product is that the pros are excellent but the cons also work against it.Pros:>Good noise cancellation>Excellent sound quality>Range is not bad>Good battery lifeCons:>The soft earbuds have a very small hole in it, so when you wear a helmet over it and if there is a slight change in the angle of the earpiece you are unable to hear anything from that earpiece unless you correct the angle.>Durability: The left earpiece of my headphones stopped working within 2 months of use. The company repaired it and gave it back, but the time taken for the same was long. Also, the left earpiece projects lower sound than the right one.>It does not inform when the Bluetooth gets disconnected after going out of range.>Becomes useless after the battery reaches 20%. It keeps informing 'Oops! Battery low!' after every minute for the next 10 minutes and then switches off.
"
boAt Rockerz 255,"Its grear earphones. I was sceptical when i bought it for 1499, as price was so less for wireless ear phones. Bass is on point and battery life is approx 8-9 hours. You hardly feel it in your ears.  Mic picks up all the noise so thats one minus but you can still hear the the sound. Mic is very sensitive so you can speak almost for yourself and still other person will get you.
"
boAt Rockerz 255,"I got this product by 03/12/18 by 04:45 PM. Immediately opened the package to see how the condition was, however it came in a well packed box and on top of it Amazon's insulated cover with invoice. Opened the headphone and put charging through laptop for a few minutes and started using it.Pros:1. Connecting to my new OnePlust 6T within no time and giving a sound with a bold voice stating ""You are now connected to Boat Rocerz 255""2. Base is really awesome, able to hear vocals properly, well mounted ear tips helps you to use the headphone for longer time3. Call quality is fine and more over noise cancellation is ok4. Music is so good to listen while driving.Cons:1. Multi-functional is not so compatible to my phone (it's my assumption), where I could not able to got to the next song or previous song.2. Noise Cancellation is not that much awesome but yeah can able to listen our voice properly by the other side.3. If we give pause for 5 minutes to the song while listening through this, you should go back again to your phone to replay it againOverall it's a satisfactory deal and worth every rupee we spend on it. As this is my second product from Boat I strongly recommend this.
"
boAt Rockerz 255,"Sound quality is good. noise cancellation is not upto the mark. battery quality is decent. by charging it once you can enjoy upto 5hrs of music without any issue
"
boAt Rockerz 255,"Awesome best budget wireless earphones
"
boAt Rockerz 255,"Product design is good and very durable. The best feature is the sound quality and its design. However what i didn't liked is the battery backup. Its up hardly for 3 to 4 hrs if continuously powered on which requires to be charged atleast 2x a day. Overall I would say , its a good deal only if its under 1K or max 1.2K inr.. otherwise I wont recommend it.
"
boAt Rockerz 255,"Got this for Rs. 999. A great deal for the price.Bought it socially for multipoint features.Works great with 2 mobiles but I have found that it keeps running into connecting issues with a Windows 10 laptop. It may take a while to connect back with a Windows 10 laptop.Battery is okay. Can't take it off the whole day.Don't expect noise cancellation. Sound is great. You can enjoy bass. Another little annoying thing apart from connecting with Windows Laptop is the crackling sound which I can hear sometime for no reason even in close proximity of the streaming device.
"
boAt Rockerz 255,"** the product was a perfect purchase... but it is not charging, requested for replacement..Replacement is quick and so prominent... Thank You boAt team...Pros:•Soft feeling wearing this ""boAT Rockerze"" and look also good..•The sound quality is excellent, it's like a premium brands...•I am using just after receiving the product without charging and it is going on and on. The battery lasts for full 2days. Am so happy.•Value for money.Cons:-Not find still now...
"
boAt Rockerz 255,"Pros:charge time 2 hrs and backup is very good full day use (6 hr continuous)two led colors red and blue . while using blue light blinks after every few secs,in-build ringtone (trrrin trrrin type).using in honor 6x show battery icon in 100-80-50-25-0 stages.Gives warning on low battery and when connected or disconnected (human voice).Lightwight,good build quality.i replaced rubber earplugs with piston earphone plugs, the 3 pairs comes with package are not too soft but are fine.you can control volume of pc and mobile depends on which device is currently playing.i am using piston onemore ,music quality is not to that level but is pretty decent. bass is balancedcons:Range is 10m in real world plays well if u are in room , the moment you walk out of room then distortion occurs.mic is very sensitive and works fine so far no complains from other end. i have not used outside the room.when it keep it for charging it gets switch off on it own then have to reconnect it again (not a big issue) ....first i had doubt on it battery,sound quality,mic quality but after using it i am happy even though i have used one more ,boat 255,mi earphone 399 , Samsung earphone, Phillips 249 etc.
"
boAt Rockerz 255,"I got it for INR999 and that's the reason am giving it a 4star rating. For casual listeners , it has decent sound . I found it very clear not comparable to Hi-res earphones (ofcourse). It has good amount of bass but not deep bass instead more of a muddy bass but what else can you expect at this price. But it is good for casual music but i found it little weird for watching movies. Connectivity is ok . Not great cause if you'll put your phone behind your body like in case u keep ur phone in your back pockets , the  connection gets lost. Moreover , since it's a  Bluetooth 4.1 even the range is around 10m or less. Build quality seems good but only time can tell that. I have another boat product called Boat Rockerz 600 ( it was their flagship product then) , which is a very good product. I have it for more than an year now and it's still running very strong though i don't use it as my daily driver. Only problem is that it's earpads are in really bad shape so i have similar hopes with this product too. And if you are confused between this or other similarly priced earphones like Boult, tagg and all don't bother they all are Chinese earphones re-branded and marketed as Boat or tagg etc. So i believe they should sound very similar. And the MRP written on them is basically a maketing gimmick. There's no way these kinda earphones could cost more than INR1500.And now for "" Audiophiles"" ,well if you are one , you won't be looking at these anyway. So that's it . Happy shopping.
"
boAt Rockerz 255,"Worst product
"
boAt Rockerz 255,"Nice product. I love it's sound and bass. I purchased for me and another two for my family members after I make sure for it's sound quality. But one thing I really concerned here about it build quality. Mine replaced for two times till now for it's power button issue. It will take 20 days to replace the product. First time after 20 days of purchaseing and then after three months. Now they clame this new replacement is a good one. Let's see how many days it will again goes.
"
